Organization Name,NY Reg #,EIN,Registrant Type,City,State
,,,,,
"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
038249,15-68-83,NO DATA AVAILABLE,NFP,CHARLOTTESVILLE,VA
04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
"10,000 Entrepreneurs, Inc.",47-42-99,832744892,NFP,MANCHESTER,NH
"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
1000 Islands Regional Local Development Corporation,47-98-37,841988435,NFP,WATERTOWN,NY
"1000 Steps Fellows, Inc.",47-01-23,824598461,NFP,BROOKLYN,
"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
100 Black Men of Syracuse Inc,48-39-60,262847372,NFP,SYRACUSE,NY
100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
