Organization Name,NY Reg #,EIN,Registrant Type,City,State
,,,,,
"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
"100 Entrepeneurs Foundation, Inc.",43-83-51,454577599,NFP,STEVENSVILLE,MD
100 For All Inc.,47-01-37,811671576,NFP,NEW YORK,
100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
100 HISPANIC WOMEN INC,06-92-49,133831889,NFP,NEW CITY,NY
"100-Hole Golf Marathon Foundation, Inc.",43-38-81,455613923,NFP,NEW YORK,NY
"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,ATLANTA,GA
100 NEEDIEST CASES FUND TR 107,00-81-86,NO DATA AVAILABLE,CLT,GLOVERSVILLE,NY
100SUITSFOR100MEN INC.,45-92-07,462971279,NFP,QUEENS,NY
"100 Urban Enterpreneurs, Inc.",42-73-39,273864929,NFP,COLD SPRING HARBOR,NY
100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
100 Women in Finance Foundation,20-57-64,571174548,NFP,NEW YORK,NY
,,,,,
"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
"100 Entrepeneurs Foundation, Inc.",43-83-51,454577599,NFP,STEVENSVILLE,MD
100 For All Inc.,47-01-37,811671576,NFP,NEW YORK,
100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
100 HISPANIC WOMEN INC,06-92-49,133831889,NFP,NEW CITY,NY
"100-Hole Golf Marathon Foundation, Inc.",43-38-81,455613923,NFP,NEW YORK,NY
"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,ATLANTA,GA
100 NEEDIEST CASES FUND TR 107,00-81-86,NO DATA AVAILABLE,CLT,GLOVERSVILLE,NY
100SUITSFOR100MEN INC.,45-92-07,462971279,NFP,QUEENS,NY
"100 Urban Enterpreneurs, Inc.",42-73-39,273864929,NFP,COLD SPRING HARBOR,NY
100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
100 Women in Finance Foundation,20-57-64,571174548,NFP,NEW YORK,NY
